"","Length","Left","Right","Bottom","Top","Diagonal","Y"
"40",213.9,130.3,129,8.1,9.7,141.3,0
"41",214.4,129.8,129.2,8.9,9.4,142.3,0
"42",214.8,130.1,129.6,8.8,9.9,140.9,0
"43",214.9,129.6,129.4,9.3,9,141.7,0
"44",214.9,130.4,129.7,9,9.8,140.9,0
"45",214.8,129.4,129.1,8.2,10.2,141,0
"46",214.3,129.5,129.4,8.3,10.2,141.8,0
"47",214.8,129.9,129.7,8.3,10.2,141.5,0
"48",214.8,129.9,129.7,7.3,10.9,142,0
"49",214.6,129.7,129.8,7.9,10.3,141.1,0
"50",214.5,129,129.6,7.8,9.8,142,0
"51",214.6,129.8,129.4,7.2,10,141.3,0
"52",215.3,130.6,130,9.5,9.7,141.1,0
"53",214.5,130.1,130,7.8,10.9,140.9,0
"54",215.4,130.2,130.2,7.6,10.9,141.6,0
"55",214.5,129.4,129.5,7.9,10,141.4,0
"56",215.2,129.7,129.4,9.2,9.4,142,0
"57",215.7,130,129.4,9.2,10.4,141.2,0
"58",215,129.6,129.4,8.8,9,141.1,0
"59",215.1,130.1,129.9,7.9,11,141.3,0
"60",215.1,130,129.8,8.2,10.3,141.4,0
"61",215.1,129.6,129.3,8.3,9.9,141.6,0
"62",215.3,129.7,129.4,7.5,10.5,141.5,0
"63",215.4,129.8,129.4,8,10.6,141.5,0
"64",214.5,130,129.5,8,10.8,141.4,0
"65",215,130,129.8,8.6,10.6,141.5,0
"66",215.2,130.6,130,8.8,10.6,140.8,0
"67",214.6,129.5,129.2,7.7,10.3,141.3,0
"68",214.8,129.7,129.3,9.1,9.5,141.5,0
"69",215.1,129.6,129.8,8.6,9.8,141.8,0
"70",214.9,130.2,130.2,8,11.2,139.6,0
"71",213.8,129.8,129.5,8.4,11.1,140.9,0
"72",215.2,129.9,129.5,8.2,10.3,141.4,0
"73",215,129.6,130.2,8.7,10,141.2,0
"74",214.4,129.9,129.6,7.5,10.5,141.8,0
"75",215.2,129.9,129.7,7.2,10.6,142.1,0
"76",214.1,129.6,129.3,7.6,10.7,141.7,0
"77",214.9,129.9,130.1,8.8,10,141.2,0
"78",214.6,129.8,129.4,7.4,10.6,141,0
"79",215.2,130.5,129.8,7.9,10.9,140.9,0
"80",214.6,129.9,129.4,7.9,10,141.8,0
"81",215.1,129.7,129.7,8.6,10.3,140.6,0
"82",214.9,129.8,129.6,7.5,10.3,141,0
"83",215.2,129.7,129.1,9,9.7,141.9,0
"84",215.2,130.1,129.9,7.9,10.8,141.3,0
"85",215.4,130.7,130.2,9,11.1,141.2,0
"86",215.1,129.9,129.6,8.9,10.2,141.5,0
"87",215.2,129.9,129.7,8.7,9.5,141.6,0
"88",215,129.6,129.2,8.4,10.2,142.1,0
"89",214.9,130.3,129.9,7.4,11.2,141.5,0
"90",215,129.9,129.7,8,10.5,142,0
"91",214.7,129.7,129.3,8.6,9.6,141.6,0
"92",215.4,130,129.9,8.5,9.7,141.4,0
"93",214.9,129.4,129.5,8.2,9.9,141.5,0
"94",214.5,129.5,129.3,7.4,10.7,141.5,0
"95",214.7,129.6,129.5,8.3,10,142,0
"96",215.6,129.9,129.9,9,9.5,141.7,0
"97",215,130.4,130.3,9.1,10.2,141.1,0
"98",214.4,129.7,129.5,8,10.3,141.2,0
"99",215.1,130,129.8,9.1,10.2,141.5,0
"100",214.7,130,129.4,7.8,10,141.2,0
"101",214.4,130.1,130.3,9.7,11.7,139.8,1
"102",214.9,130.5,130.2,11,11.5,139.5,1
"103",214.9,130.3,130.1,8.7,11.7,140.2,1
"104",215,130.4,130.6,9.9,10.9,140.3,1
"105",214.7,130.2,130.3,11.8,10.9,139.7,1
"106",215,130.2,130.2,10.6,10.7,139.9,1
"107",215.3,130.3,130.1,9.3,12.1,140.2,1
"108",214.8,130.1,130.4,9.8,11.5,139.9,1
"109",215,130.2,129.9,10,11.9,139.4,1
"110",215.2,130.6,130.8,10.4,11.2,140.3,1
"111",215.2,130.4,130.3,8,11.5,139.2,1
"112",215.1,130.5,130.3,10.6,11.5,140.1,1
"113",215.4,130.7,131.1,9.7,11.8,140.6,1
"114",214.9,130.4,129.9,11.4,11,139.9,1
"115",215.1,130.3,130,10.6,10.8,139.7,1
"116",215.5,130.4,130,8.2,11.2,139.2,1
"117",214.7,130.6,130.1,11.8,10.5,139.8,1
"118",214.7,130.4,130.1,12.1,10.4,139.9,1
"119",214.8,130.5,130.2,11,11,140,1
"120",214.4,130.2,129.9,10.1,12,139.2,1
"121",214.8,130.3,130.4,10.1,12.1,139.6,1
"122",215.1,130.6,130.3,12.3,10.2,139.6,1
"123",215.3,130.8,131.1,11.6,10.6,140.2,1
"124",215.1,130.7,130.4,10.5,11.2,139.7,1
"125",214.7,130.5,130.5,9.9,10.3,140.1,1
"126",214.9,130,130.3,10.2,11.4,139.6,1
"127",215,130.4,130.4,9.4,11.6,140.2,1
"128",215.5,130.7,130.3,10.2,11.8,140,1
"129",215.1,130.2,130.2,10.1,11.3,140.3,1
"130",214.5,130.2,130.6,9.8,12.1,139.9,1
"131",214.3,130.2,130,10.7,10.5,139.8,1
"132",214.5,130.2,129.8,12.3,11.2,139.2,1
"133",214.9,130.5,130.2,10.6,11.5,139.9,1
"134",214.6,130.2,130.4,10.5,11.8,139.7,1
"135",214.2,130,130.2,11,11.2,139.5,1
"136",214.8,130.1,130.1,11.9,11.1,139.5,1
"137",214.6,129.8,130.2,10.7,11.1,139.4,1
"138",214.9,130.7,130.3,9.3,11.2,138.3,1
"139",214.6,130.4,130.4,11.3,10.8,139.8,1
"140",214.5,130.5,130.2,11.8,10.2,139.6,1
"141",214.8,130.2,130.3,10,11.9,139.3,1
"142",214.7,130,129.4,10.2,11,139.2,1
"143",214.6,130.2,130.4,11.2,10.7,139.9,1
"144",215,130.5,130.4,10.6,11.1,139.9,1
"145",214.5,129.8,129.8,11.4,10,139.3,1
"146",214.9,130.6,130.4,11.9,10.5,139.8,1
"147",215,130.5,130.4,11.4,10.7,139.9,1
"148",215.3,130.6,130.3,9.3,11.3,138.1,1
"149",214.7,130.2,130.1,10.7,11,139.4,1
"150",214.9,129.9,130,9.9,12.3,139.4,1
"151",214.9,130.3,129.9,11.9,10.6,139.8,1
"152",214.6,129.9,129.7,11.9,10.1,139,1
"153",214.6,129.7,129.3,10.4,11,139.3,1
"154",214.5,130.1,130.1,12.1,10.3,139.4,1
"155",214.5,130.3,130,11,11.5,139.5,1
"156",215.1,130,130.3,11.6,10.5,139.7,1
"157",214.2,129.7,129.6,10.3,11.4,139.5,1
"158",214.4,130.1,130,11.3,10.7,139.2,1
"159",214.8,130.4,130.6,12.5,10,139.3,1
"160",214.6,130.6,130.1,8.1,12.1,137.9,1
"161",215.6,130.1,129.7,7.4,12.2,138.4,1
"162",214.9,130.5,130.1,9.9,10.2,138.1,1
"163",214.6,130.1,130,11.5,10.6,139.5,1
"164",214.7,130.1,130.2,11.6,10.9,139.1,1
"165",214.3,130.3,130,11.4,10.5,139.8,1
"166",215.1,130.3,130.6,10.3,12,139.7,1
"167",216.3,130.7,130.4,10,10.1,138.8,1
"168",215.6,130.4,130.1,9.6,11.2,138.6,1
"169",214.8,129.9,129.8,9.6,12,139.6,1
"170",214.9,130,129.9,11.4,10.9,139.7,1
"171",213.9,130.7,130.5,8.7,11.5,137.8,1
"172",214.2,130.6,130.4,12,10.2,139.6,1
"173",214.8,130.5,130.3,11.8,10.5,139.4,1
"174",214.8,129.6,130,10.4,11.6,139.2,1
"175",214.8,130.1,130,11.4,10.5,139.6,1
"176",214.9,130.4,130.2,11.9,10.7,139,1
"177",214.3,130.1,130.1,11.6,10.5,139.7,1
"178",214.5,130.4,130,9.9,12,139.6,1
"179",214.8,130.5,130.3,10.2,12.1,139.1,1
"180",214.5,130.2,130.4,8.2,11.8,137.8,1
"181",215,130.4,130.1,11.4,10.7,139.1,1
"182",214.8,130.6,130.6,8,11.4,138.7,1
"183",215,130.5,130.1,11,11.4,139.3,1
"184",214.6,130.5,130.4,10.1,11.4,139.3,1
"185",214.7,130.2,130.1,10.7,11.1,139.5,1
"186",214.7,130.4,130,11.5,10.7,139.4,1
"187",214.5,130.4,130,8,12.2,138.5,1
"188",214.8,130,129.7,11.4,10.6,139.2,1
"189",214.8,129.9,130.2,9.6,11.9,139.4,1
"190",214.6,130.3,130.2,12.7,9.1,139.2,1
"191",215.1,130.2,129.8,10.2,12,139.4,1
"192",215.4,130.5,130.6,8.8,11,138.6,1
"193",214.7,130.3,130.2,10.8,11.1,139.2,1
"194",215,130.5,130.3,9.6,11,138.5,1
"195",214.9,130.3,130.5,11.6,10.6,139.8,1
"196",215,130.4,130.3,9.9,12.1,139.6,1
"197",215.1,130.3,129.9,10.3,11.5,139.7,1
"198",214.8,130.3,130.4,10.6,11.1,140,1
"199",214.7,130.7,130.8,11.2,11.2,139.4,1
"200",214.3,129.9,129.9,10.2,11.5,139.6,1
